"rfastnum","kdagur","nuvirdi","teg_eign","svfn","byggar","haednr","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","stig10","matssvaedi","undirmatssvaedi","ibteg"
10580956,"2011-11-02",18636,"Ibudareign",0,1970,2,0,117,1,0,1,0,1,1,3,1,2,10,200,0,12
10779688,"2011-10-31",17533,"Ibudareign",0,1953,0,0,67.9,1,0,0,1,1,1,1,1,1,10,70,0,12
10712711,"2011-10-07",14472,"Ibudareign",0,1921,0,0,45.7,1,0,0,1,1,1,1,1,0,10,20,0,12
10774018,"2011-10-28",14850,"Ibudareign",0,1967,1,0,78.1,1,0,1,0,1,1,2,1,1,10,200,0,12
10891899,"2011-11-03",20831,"Ibudareign",0,1952,0,0,87.4,1,0,1,0,1,1,2,1,2,10,70,0,12
10640526,"2011-11-08",34850,"Einbylishus",6000,1990,1,0,125,1,0,1,1,1,1,3,1,0,10,6040,0,11
10079496,"2011-11-04",17992,"Ibudareign",1000,1973,3,0,89.5,1,0,1,0,1,1,3,1,1,10,320,0,12
10704450,"2011-11-04",13285,"Ibudareign",1000,1971,7,1,44.9,1,0,1,0,1,1,1,1,1,10,320,0,12
10345373,"2011-11-02",17134,"Ibudareign",0,1983,1,0,69.2,1,0,1,1,1,1,1,1,2,10,220,0,12
10001669,"2011-11-03",65933,"Einbylishus",0,1970,1,0,197.1,1,0,0,0,0,0,0,0,0,10,280,31,11
10246870,"2011-11-03",23500,"Ibudareign",0,1986,1,1,85.4,1,0,0,1,1,1,2,1,1,10,90,0,12
10475802,"2011-11-08",57800,"Parhus",1300,2011,1,0,162.5,1,0,0,1,1,1,3,2,1,10,530,0,11
10607925,"2011-11-08",37800,"Ibudareign",1300,2004,3,3,122.5,1,1,1,0,1,1,2,1,0,10,510,49,12
10175516,"2011-10-31",51017,"Ibudareign",1000,1995,1,0,195.7,2,0,2,2,2,1,6,2,2,10,320,0,11
10013521,"2011-11-03",23811,"Ibudareign",1000,1994,1,0,92.7,1,0,1,1,1,1,2,2,0,10,330,0,12
